date,cumulative_cases,new_cases,I_est,R_est,S_est
2013-10-07,2,2.0,2.0,0.0,30999998.0
2013-10-14,3,1.0,3.0,0.0,30999997.0
2013-10-21,1,0.0,3.0,0.0,30999997.0
2013-10-28,2,1.0,4.0,0.0,30999996.0
2013-11-04,2,0.0,4.0,0.0,30999996.0
2013-11-11,2,0.0,4.0,0.0,30999996.0
2013-11-18,2,0.0,4.0,0.0,30999996.0
2013-11-25,2,0.0,4.0,0.0,30999996.0
2013-12-02,0,0.0,4.0,0.0,30999996.0
2013-12-09,6,6.0,10.0,0.0,30999990.0
2013-12-16,5,0.0,10.0,0.0,30999990.0
2013-12-30,0,0.0,10.0,0.0,30999990.0
2014-01-06,0,0.0,10.0,0.0,30999990.0
2014-01-13,2,2.0,12.0,0.0,30999988.0
2014-01-20,1,0.0,10.0,2.0,30999988.0
2014-01-27,3,2.0,11.0,3.0,30999986.0
2014-02-03,1,0.0,11.0,1.0,30999988.0
2014-02-10,2,1.0,11.0,2.0,30999987.0
2014-02-17,7,5.0,16.0,2.0,30999982.0
2014-02-24,6,0.0,16.0,2.0,30999982.0
2014-03-03,7,1.0,17.0,2.0,30999981.0
2014-03-10,19,12.0,29.0,2.0,30999969.0
2014-03-17,10,0.0,29.0,0.0,30999971.0
2014-03-24,51,41.0,64.0,6.0,30999930.0
2014-03-31,56,5.0,69.0,5.0,30999926.0
2014-04-07,61,5.0,74.0,0.0,30999926.0
2014-04-14,93,32.0,106.0,0.0,30999894.0
2014-04-21,92,0.0,104.0,2.0,30999894.0
2014-04-28,57,0.0,104.0,1.0,30999895.0
2014-05-05,30,0.0,102.0,3.0,30999895.0
2014-05-12,26,0.0,102.0,1.0,30999897.0
2014-05-19,7,0.0,101.0,2.0,30999897.0
2014-05-26,13,6.0,102.0,7.0,30999891.0
